School Name,Student Number,Grade,Program Code,BPS Race,First Lang,Home Lang,Home Lang 2,Home Lang 3,SN Code,21-22 ACCESS Overall,22-23 ACCESS Overall,,,,,,,,,,,,,,,,,
School Q,127028,1,BLV,Asian,Vietnamese,Vietnamese,,,,1.8,3.6,,,,,,,,,,,,,,,,,
School AN,178683,2,SI4,Hispanic,English,English,Spanish,,L3,1.8,3.6,,,,,,,,,,,,,,,,,
School BK,182133,1,BLM,White,Portuguese,Portuguese,,,,1.5,3.3,,,,,,,,,,,,,,,,,
School BL,106351,1,REG,Black,Spanish,English,Spanish,,,1.1,2.9,,,,,,,,,,,,,,,,,
School T,162460,5,BLM,White,Portuguese,Portuguese,,,,1.5,3.3,,,,,,,,,,,,,,,,,
School Y,169339,1,REG,Hispanic,Spanish,Spanish,,,,1.1,2.9,,,,,,,,,,,,,,,,,
School AK,157187,1,BLS,Hispanic,Spanish,English,Spanish,,,1.5,3.2,,,,,,,,,,,,,,,,,
School J,130793,1,BLK,Black,Cape Verdean,Cape Verdean,,,,1.9,3.6,,,,,,,,,,,,,,,,,
School AI,139671,1,REG,Black,Portuguese,Portuguese,English,Cape Verdean,,1.4,3.1,,,,,,,,,,,,,,,,,
School AP,253637,4,BLS,Hispanic,Spanish,Spanish,Spanish,Spanish,,1.5,3.2,,,,,,,,,,,,,,,,,
School BM,178669,2,BLS,Hispanic,Spanish,Spanish,,,,1.9,3.6,,,,,,,,,,,,,,,,,
School I,274597,1,REG,Hispanic,English,English,Spanish,,,1.4,3.1,,,,,,,,,,,,,,,,,
School BN,164059,1,REG,Hispanic,Spanish,Spanish,,,,1.9,3.6,,,,,,,,,,,,,,,,,
School O,243240,6,REG,Hispanic,Portuguese,Portuguese,,,,1.5,3.2,,,,,,,,,,,,,,,,,
School T,249216,4,BLM,Hispanic,Portuguese,English,,,,1.9,3.6,,,,,,,,,,,,,,,,,
School G,289829,1,BLM,Hispanic,Portuguese,Portuguese,Portuguese,Portuguese,,1,2.7,,,,,,,,,,,,,,,,,
School AN,233365,1,REG,Hispanic,Spanish,English,Spanish,,S1,1.5,3.2,,,,,,,,,,,,,,,,,
School S,189796,2,BLS,Hispanic,Spanish,English,,,,1.9,3.6,,,,,,,,,,,,,,,,,
School BE,192640,2,REG,Hispanic,Spanish,Spanish,,,,1.4,3.1,,,,,,,,,,,,,,,,,
School BO,146002,1,REG,Asian,Farsi,Farsi,,,,1,2.7,,,,,,,,,,,,,,,,,
School B,105058,9,BLM,Asian,Spanish,Spanish,,,,1.9,3.6,,,,,,,,,,,,,,,,,
School X,138815,1,TLS,Hispanic,Spanish,English,Spanish,,,1.5,3.2,,,,,,,,,,,,,,,,,
School AR,229872,1,REG,Asian,Vietnamese,Vietnamese,,,,1.9,3.6,,,,,,,,,,,,,,,,,
School G,289980,2,BLM,Hispanic,English,English,English,,,1.9,3.6,,,,,,,,,,,,,,,,,
School AX,213725,2,REG,Hispanic,Spanish,Spanish,,,S1,1.9,3.6,,,,,,,,,,,,,,,,,
School BP,156420,9,BLK,Black,Cape Verdean,Cape Verdean,,,R1,1.9,3.6,,,,,,,,,,,,,,,,,
School AA,163778,2,BLM,Black,Cape Verdean,Cape Verdean,,,,1.9,3.6,,,,,,,,,,,,,,,,,
School BQ,187447,2,REG,Hispanic,Spanish,Spanish,,,,1.9,3.6,,,,,,,,,,,,,,,,,
School N,200599,5,REG,Hispanic,Spanish,Spanish,,,,1.5,3.2,,,,,,,,,,,,,,,,,
School BR,131790,5,BIH,Black,Haitian Creole,Haitian Creole,,,,1.8,3.5,,,,,,,,,,,,,,,,,
School Q,171441,1,REG,Black,English,English,Cape Verdean,,,1.3,3,,,,,,,,,,,,,,,,,
School J,123496,4,REG,Black,Cape Verdean,English,Cape Verdean,,R1,1.8,3.5,,,,,,,,,,,,,,,,,
School BS,148058,1,SI4,Hispanic,English,English,Spanish,,Y3,1.7,3.4,,,,,,,,,,,,,,,,,
School AP,277831,4,SI4,Hispanic,Spanish,Spanish,,,L3,1.8,3.5,,,,,,,,,,,,,,,,,
School L,173738,1,BLS,Hispanic,Spanish,Spanish,,,,1.2,2.9,,,,,,,,,,,,,,,,,
School F,125180,1,BLC,Asian,Cantonese,English,Cantonese,,,1.8,3.5,,,,,,,,,,,,,,,,,
School F,273781,1,BLC,Asian,Cantonese,English,Cantonese,,,1.3,3,,,,,,,,,,,,,,,,,
School J,253583,4,BLK,Black,Cape Verdean,Cape Verdean,,,,1.7,3.4,,,,,,,,,,,,,,,,,
School AH,154621,1,BLS,Hispanic,Spanish,Spanish,,,,1.2,2.9,,,,,,,,,,,,,,,,,
School AH,235511,1,SI4,Hispanic,Spanish,English,Spanish,,X3,1.3,3,,,,,,,,,,,,,,,,,
School S,232453,2,BLS,Hispanic,Spanish,Spanish,,,,1.8,3.5,,,,,,,,,,,,,,,,,
School Y,214126,1,REG,Hispanic,Spanish,Spanish,,,,1.3,3,,,,,,,,,,,,,,,,,
School AH,236288,1,BLS,Hispanic,Spanish,Spanish,,,,1.3,3,,,,,,,,,,,,,,,,,
School AG,216239,1,REG,Hispanic,Spanish,Spanish,,,,1.3,3,,,,,,,,,,,,,,,,,
School AX,297339,1,REG,Hispanic,Spanish,English,Spanish,,R1,1.7,3.4,,,,,,,,,,,,,,,,,
School AD,257192,6,BLM,White,Portuguese,Portuguese,Portuguese,Portuguese,,1.3,3,,,,,,,,,,,,,,,,,
School BC,181446,1,REG,Hispanic,English,English,Spanish,,,1.8,3.5,,,,,,,,,,,,,,,,,
School F,285824,1,BLC,Asian,Toishanese,Toishanese,Cantonese,Mandarin,,1.8,3.5,,,,,,,,,,,,,,,,,
School F,149640,1,BLC,Asian,Toishanese,Toishanese,English,,,1.7,3.4,,,,,,,,,,,,,,,,,
School BC,280424,1,REG,Black,Cape Verdean,Cape Verdean,,,S1,1.6,3.3,,,,,,,,,,,,,,,,,
School AA,290205,2,BLM,Hispanic,English,Spanish,,,,1.6,3.3,,,,,,,,,,,,,,,,,
School AH,109388,1,SI4,Hispanic,Spanish,English,Spanish,,R2,1.1,2.8,,,,,,,,,,,,,,,,,
School BT,190557,K2,KED,Black,Luganda,Luganda,,,,1.6,3.3,,,,,,,,,,,,,,,,,
School AV,189219,4,TLH,Black,Haitian Creole,Haitian Creole,,,,1.6,3.3,,,,,,,,,,,,,,,,,
School AD,186622,5,BIM,White,Portuguese,Portuguese,,,,1.6,3.3,,,,,,,,,,,,,,,,,
School BL,149032,1,SI4,Hispanic,English,Spanish,,,Y3,1,2.6,,,,,,,,,,,,,,,,,
School Y,209057,1,SI4,Hispanic,Spanish,Spanish,,,Y3,1.1,2.7,,,,,,,,,,,,,,,,,
School BU,102302,9,BLM,Black,Haitian Creole,Haitian Creole,,,,1.6,3.2,,,,,,,,,,,,,,,,,
School N,148770,4,BLS,Hispanic,Spanish,Spanish,English,,,1.9,3.5,,,,,,,,,,,,,,,,,
School BA ,255729,1,REG,Hispanic,Portuguese,Portuguese,,,,1.9,3.5,,,,,,,,,,,,,,,,,
School J,287824,2,BLK,Black,Cape Verdean,Cape Verdean,,,,1.6,3.2,,,,,,,,,,,,,,,,,
School J,290646,1,BLK,Black,Cape Verdean,Cape Verdean,Portuguese,,R1,1,2.6,,,,,,,,,,,,,,,,,
School BF,226170,8,REG,Hispanic,Spanish,Spanish,,,,1.9,3.5,,,,,,,,,,,,,,,,,
School F,238157,1,BLC,Asian,Chinese,Chinese,English,,,1,2.6,,,,,,,,,,,,,,,,,
School AK,210497,1,REG,Hispanic,Spanish,Spanish,,,,1.4,3,,,,,,,,,,,,,,,,,
School R,255096,1,REG,Hispanic,Spanish,English,Spanish,,,1.6,3.2,,,,,,,,,,,,,,,,,
School AA,209784,1,SI4,Hispanic,Spanish,Spanish,,,Y3,1.1,2.7,,,,,,,,,,,,,,,,,
School J,279129,1,REG,Hispanic,Spanish,Spanish,,,S1,1.5,3.1,,,,,,,,,,,,,,,,,
School BV,145232,9,BLS,Hispanic,Spanish,Spanish,,,,1.9,3.5,,,,,,,,,,,,,,,,,
School F,199046,1,BLC,Asian,Chinese,English,Cantonese,,S1,1.4,3,,,,,,,,,,,,,,,,,
School F,172271,1,BLC,Asian,Toishanese,Toishanese,,,,1,2.6,,,,,,,,,,,,,,,,,
School F,286922,1,BLC,Asian,Cantonese,Cantonese,Cantonese,,,1.9,3.5,,,,,,,,,,,,,,,,,
School F,222772,1,BLC,Asian,Toishanese,Mandarin,Toishanese,,,1.1,2.7,,,,,,,,,,,,,,,,,
School Z,184686,1,REG,Black,Haitian Creole,English,Haitian Creole,,,1.5,3.1,,,,,,,,,,,,,,,,,
School AE,179980,1,REG,Asian,English,English,Other,,,1.5,3.1,,,,,,,,,,,,,,,,,
School S,166640,2,BLS,Hispanic,Spanish,Spanish,,,,1.4,3,,,,,,,,,,,,,,,,,
School X,201647,1,TLE,Hispanic,Spanish,Spanish,,,,1.5,3.1,,,,,,,,,,,,,,,,,
